Player,Position,ID,Draft Year,Projected SPM,Superstar,Starter,Role Player
Wilson Chandler,SF,wilson-chandler,2007,-0.379371445,0.01280846,0.231717946,0.361419076
Daequan Cook,SG,daequan-cook,2007,-0.501947414,0.010837887,0.174134791,0.45177595600000003
Sean Williams,C,sean-williams,2007,-0.560511843,0.006712721,0.183916618,0.39678992399999996
Josh McRoberts,PF,josh-mcroberts,2007,-0.586086222,0.004396267,0.174482602,0.401204839
Jared Dudley,SF,jared-dudley,2007,-0.596161229,0.001211272,0.173232802,0.430848921
Glen Davis,PF,glen-davis,2007,-0.633933768,0.00268721,0.157226742,0.409084991
Taurean Green,PG,taurean-green,2007,-0.6387245979999999,0.005701675,0.17684891600000002,0.35387836200000006
Gabe Pruitt,PG,gabe-pruitt,2007,-0.7789871490000001,0.007583099,0.16434464099999999,0.308926692
Reyshawn Terry,SF,reyshawn-terry,2007,-0.8271420979999999,0.0004988169999999999,0.091555341,0.476973297
Ramon Sessions,PG,ramon-sessions,2007,-0.896731202,0.000494475,0.139291981,0.322416324
Blake Schilb,SF,blake-schilb,2007,-0.940592063,0.000890772,0.024305601,0.5363462410000001
Carl Landry,PF,carl-landry,2007,-0.9528953490000001,0.002045092,0.126780838,0.348472083
Aaron Gray,C,aaron-gray,2007,-0.9881177520000001,0.003082401,0.07719775799999999,0.414327094
Arron Afflalo,SG,arron-afflalo,2007,-0.9890012890000001,0.002536551,0.08776656099999999,0.407585638
Jared Jordan,PG,jared-jordan,2007,-1.0014171170000001,0.0,0.0504095,0.439857541
Aaron Brooks,PG,aaron-brooks,2007,-1.002141462,0.000226926,0.11265398800000001,0.34265898100000003
Trey Johnson,SG,trey-johnson,2007,-1.016300094,0.000227294,0.037940873,0.486145205
Marcus Williams,SF,marcus-williams,2007,-1.036945497,0.001629615,0.08842120099999999,0.393028007
Jeremy Hunt,SG,jeremy-hunt,2007,-1.050169298,0.000148497,0.03620393,0.458491518
Dominic McGuire,SF,dominic-mcguire,2007,-1.063704576,0.000356641,0.05666692,0.408822862
Alando Tucker,SF,alando-tucker,,-1.067313339,0.001979317,0.06865441900000001,0.409033204
Coleman Collins,PF,coleman-collins,2007,-1.080813096,0.006000826,0.09289309800000001,0.294143218
JamesOn Curry,SG,jameson-curry,2007,-1.091330806,0.0009741,0.06307537099999999,0.393008873
Ron Lewis,SG,ron-lewis,2007,-1.093157647,0.0005245030000000001,0.046044287999999996,0.428624622
Al Thornton,SF,al-thornton,2007,-1.122221451,0.002371322,0.11275821400000001,0.262559545
Stephane Lasme,PF,stephane-lasme,2007,-1.126446842,0.0,0.033650267000000005,0.42080560100000003
Nick Young,SG,nick-young,2007,-1.127632903,0.0013759570000000001,0.063868301,0.378346412
